service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
S1304-AMD-Weekday-54,1,1,1,1,1,0,0,20130605,20130611
S1304-Satco-Saturday-02,0,0,0,0,0,1,0,20130608,20130622
S1304-Satco-Sunday-02,0,0,0,0,0,0,1,20130609,20130616
S1304-AMD-Weekday-55,1,1,1,1,1,0,0,20130612,20130614
S1304-Satco-Weekday-02,1,1,1,1,1,0,0,20130617,20130621
S1304-Satco-Weekday-02-1010100,1,0,1,0,1,0,0,20130617,20130621
S1304-Satco-Weekday-02-0101000,0,1,0,1,0,0,0,20130617,20130621
S1304-Satco-Weekday-02-1111000,1,1,1,1,0,0,0,20130617,20130621
S1306-Satco-Sunday-02,0,0,0,0,0,0,1,20130623,20130818
S1306-Satco-Weekday-04,1,1,1,1,1,0,0,20130624,20130823
S1306-Satco-Saturday-02,0,0,0,0,0,1,0,20130629,20130824
HTS04-Hulmes-Weekday-04,1,1,1,1,1,0,0,20130605,20130902
HTS04-Hulmes-Weekday-04-1010100,1,0,1,0,1,0,0,20130605,20130902
HTS04-Hulmes-Weekday-04-0001100,0,0,0,1,1,0,0,20130605,20130902
UM1213-UMTS-Weekday-03,1,1,1,1,1,0,0,20130605,20130830
UM1213-UMTS-Saturday-07,0,0,0,0,0,1,0,20130608,20130831
UM1213-UMTS-Sunday-08,0,0,0,0,0,0,1,20130609,20130901
N1305-Vatco-Weekday-01,1,1,1,1,1,0,0,20130605,20130830
N1305-Vatco-Weekday-01-1110000,1,1,1,0,0,0,0,20130605,20130830
N1305-Vatco-Weekday-01-0011100,0,0,1,1,1,0,0,20130605,20130830
N1305-Vatco-Weekday-01-0100000,0,1,0,0,0,0,0,20130605,20130830
N1305-Vatco-Weekday-01-0001100,0,0,0,1,1,0,0,20130605,20130830
N1305-Vatco-Weekday-01-1100000,1,1,0,0,0,0,0,20130605,20130830
N1305-Vatco-Weekday-01-0010000,0,0,1,0,0,0,0,20130605,20130830
N1305-Vatco-Weekday-01-0000100,0,0,0,0,1,0,0,20130605,20130830
N1305-Vatco-Weekday-01-1011100,1,0,1,1,1,0,0,20130605,20130830
N1305-Vatco-Weekday-01-0001000,0,0,0,1,0,0,0,20130605,20130830
N1305-Vatco-Weekday-01-1000000,1,0,0,0,0,0,0,20130605,20130830
N1305-Vatco-Weekday-01-0101000,0,1,0,1,0,0,0,20130605,20130830
N1305-VATCo-Saturday-01,0,0,0,0,0,1,0,20130608,20130831
N1305-VATCo-Sunday-01,0,0,0,0,0,0,1,20130609,20130825
N1305-Vatco-Weekday-02,1,1,1,1,1,0,0,20130610,20130628
N1305-Vatco-Weekday-02-1110000,1,1,1,0,0,0,0,20130610,20130628
N1305-Vatco-Weekday-02-0011100,0,0,1,1,1,0,0,20130610,20130628
N1305-Vatco-Weekday-02-0100000,0,1,0,0,0,0,0,20130610,20130628
N1305-Vatco-Weekday-02-0001100,0,0,0,1,1,0,0,20130610,20130628
N1305-Vatco-Weekday-02-1100000,1,1,0,0,0,0,0,20130610,20130628
N1305-Vatco-Weekday-02-0010000,0,0,1,0,0,0,0,20130610,20130628
N1305-Vatco-Weekday-02-0000100,0,0,0,0,1,0,0,20130610,20130628
N1305-Vatco-Weekday-02-1011100,1,0,1,1,1,0,0,20130610,20130628
N1305-Vatco-Weekday-02-0001000,0,0,0,1,0,0,0,20130610,20130628
N1305-Vatco-Weekday-02-1000000,1,0,0,0,0,0,0,20130610,20130628
N1305-Vatco-Weekday-02-0101000,0,1,0,1,0,0,0,20130610,20130628
N1301-VATCo-Sunday-01,0,0,0,0,0,0,1,20130901,20130901
