service_id,date,exception_type
UM1213-UMTS-Weekday-03,20130704,2
N1305-Vatco-Weekday-01,20130610,2
N1305-Vatco-Weekday-01-1110000,20130610,2
N1305-Vatco-Weekday-01-0011100,20130610,2
N1305-Vatco-Weekday-01-0100000,20130610,2
N1305-Vatco-Weekday-01-0001100,20130610,2
N1305-Vatco-Weekday-01-1100000,20130610,2
N1305-Vatco-Weekday-01-0010000,20130610,2
N1305-Vatco-Weekday-01-0000100,20130610,2
N1305-Vatco-Weekday-01-1011100,20130610,2
N1305-Vatco-Weekday-01-0001000,20130610,2
N1305-Vatco-Weekday-01-1000000,20130610,2
N1305-Vatco-Weekday-01-0101000,20130610,2
N1305-Vatco-Weekday-01,20130611,2
N1305-Vatco-Weekday-01-1110000,20130611,2
N1305-Vatco-Weekday-01-0011100,20130611,2
N1305-Vatco-Weekday-01-0100000,20130611,2
N1305-Vatco-Weekday-01-0001100,20130611,2
N1305-Vatco-Weekday-01-1100000,20130611,2
N1305-Vatco-Weekday-01-0010000,20130611,2
N1305-Vatco-Weekday-01-0000100,20130611,2
N1305-Vatco-Weekday-01-1011100,20130611,2
N1305-Vatco-Weekday-01-0001000,20130611,2
N1305-Vatco-Weekday-01-1000000,20130611,2
N1305-Vatco-Weekday-01-0101000,20130611,2
N1305-Vatco-Weekday-01,20130612,2
N1305-Vatco-Weekday-01-1110000,20130612,2
N1305-Vatco-Weekday-01-0011100,20130612,2
N1305-Vatco-Weekday-01-0100000,20130612,2
N1305-Vatco-Weekday-01-0001100,20130612,2
N1305-Vatco-Weekday-01-1100000,20130612,2
N1305-Vatco-Weekday-01-0010000,20130612,2
N1305-Vatco-Weekday-01-0000100,20130612,2
N1305-Vatco-Weekday-01-1011100,20130612,2
N1305-Vatco-Weekday-01-0001000,20130612,2
N1305-Vatco-Weekday-01-1000000,20130612,2
N1305-Vatco-Weekday-01-0101000,20130612,2
N1305-Vatco-Weekday-01,20130613,2
N1305-Vatco-Weekday-01-1110000,20130613,2
N1305-Vatco-Weekday-01-0011100,20130613,2
N1305-Vatco-Weekday-01-0100000,20130613,2
N1305-Vatco-Weekday-01-0001100,20130613,2
N1305-Vatco-Weekday-01-1100000,20130613,2
N1305-Vatco-Weekday-01-0010000,20130613,2
N1305-Vatco-Weekday-01-0000100,20130613,2
N1305-Vatco-Weekday-01-1011100,20130613,2
N1305-Vatco-Weekday-01-0001000,20130613,2
N1305-Vatco-Weekday-01-1000000,20130613,2
N1305-Vatco-Weekday-01-0101000,20130613,2
N1305-Vatco-Weekday-01,20130614,2
N1305-Vatco-Weekday-01-1110000,20130614,2
N1305-Vatco-Weekday-01-0011100,20130614,2
N1305-Vatco-Weekday-01-0100000,20130614,2
N1305-Vatco-Weekday-01-0001100,20130614,2
N1305-Vatco-Weekday-01-1100000,20130614,2
N1305-Vatco-Weekday-01-0010000,20130614,2
N1305-Vatco-Weekday-01-0000100,20130614,2
N1305-Vatco-Weekday-01-1011100,20130614,2
N1305-Vatco-Weekday-01-0001000,20130614,2
N1305-Vatco-Weekday-01-1000000,20130614,2
N1305-Vatco-Weekday-01-0101000,20130614,2
N1305-Vatco-Weekday-01,20130617,2
N1305-Vatco-Weekday-01-1110000,20130617,2
N1305-Vatco-Weekday-01-0011100,20130617,2
N1305-Vatco-Weekday-01-0100000,20130617,2
N1305-Vatco-Weekday-01-0001100,20130617,2
N1305-Vatco-Weekday-01-1100000,20130617,2
N1305-Vatco-Weekday-01-0010000,20130617,2
N1305-Vatco-Weekday-01-0000100,20130617,2
N1305-Vatco-Weekday-01-1011100,20130617,2
N1305-Vatco-Weekday-01-0001000,20130617,2
N1305-Vatco-Weekday-01-1000000,20130617,2
N1305-Vatco-Weekday-01-0101000,20130617,2
N1305-Vatco-Weekday-01,20130618,2
N1305-Vatco-Weekday-01-1110000,20130618,2
N1305-Vatco-Weekday-01-0011100,20130618,2
N1305-Vatco-Weekday-01-0100000,20130618,2
N1305-Vatco-Weekday-01-0001100,20130618,2
N1305-Vatco-Weekday-01-1100000,20130618,2
N1305-Vatco-Weekday-01-0010000,20130618,2
N1305-Vatco-Weekday-01-0000100,20130618,2
N1305-Vatco-Weekday-01-1011100,20130618,2
N1305-Vatco-Weekday-01-0001000,20130618,2
N1305-Vatco-Weekday-01-1000000,20130618,2
N1305-Vatco-Weekday-01-0101000,20130618,2
N1305-Vatco-Weekday-01,20130619,2
N1305-Vatco-Weekday-01-1110000,20130619,2
N1305-Vatco-Weekday-01-0011100,20130619,2
N1305-Vatco-Weekday-01-0100000,20130619,2
N1305-Vatco-Weekday-01-0001100,20130619,2
N1305-Vatco-Weekday-01-1100000,20130619,2
N1305-Vatco-Weekday-01-0010000,20130619,2
N1305-Vatco-Weekday-01-0000100,20130619,2
N1305-Vatco-Weekday-01-1011100,20130619,2
N1305-Vatco-Weekday-01-0001000,20130619,2
N1305-Vatco-Weekday-01-1000000,20130619,2
N1305-Vatco-Weekday-01-0101000,20130619,2
N1305-Vatco-Weekday-01,20130620,2
N1305-Vatco-Weekday-01-1110000,20130620,2
N1305-Vatco-Weekday-01-0011100,20130620,2
N1305-Vatco-Weekday-01-0100000,20130620,2
N1305-Vatco-Weekday-01-0001100,20130620,2
N1305-Vatco-Weekday-01-1100000,20130620,2
N1305-Vatco-Weekday-01-0010000,20130620,2
