stop_id,stop_name,stop_desc,stop_lat,stop_lon,stop_street,stop_city,stop_region,stop_postcode,stop_country,zone_id
1,"South Deerfield Center",,  42.477036, -72.607452,,,,,,
10,"Silver Lane",,  42.454792, -72.567802,,,,,,
100,"Haydenville Center OB",,  42.374321, -72.701836,,,,,,
1000,"PLAINFIELD / WASON",,  42.123714, -72.617439,,,,,,
10006,"Mass Mutual",,  42.018105, -72.584846,,,,,,
1001,"BAY / ASTER",,  42.123970, -72.559937,,,,,,
1002,"SPRINGFIELD / DERBY DINGLE",,  42.123703, -72.603920,,,,,,
1003,"CAREW / VAN HORN",,  42.123634, -72.586594,,,,,,
1004,"MAIN / FACULTY",,  42.124981, -72.431145,,,,,,
1005,"LIBERTY / CLEVELAND",,  42.123615, -72.584259,,,,,,
1006,"SPRINGFIELD / DERBY DINGLE",,  42.123825, -72.603607,,,,,,
1007,"3300 Main Street",,  42.123165, -72.609741,,,,,,
1008,"Carew/Van Horn(opposite)",,  42.123489, -72.586601,,,,,,
1009,"BAY / ASTER",,  42.123642, -72.560097,,,,,,
101,"Haydenville IB",,  42.374207, -72.701851,,,,,,
1011,"SPRINGFIELD / ATWATER",,  42.122726, -72.604607,,,,,,
1012,"STATE / LOIS",,  42.123245, -72.542137,,,,,,
1013,"LIBERTY / CLEVELAND",,  42.122932, -72.584343,,,,,,
1014,"Main/Noble",,  42.123070, -72.609528,,,,,,
1015,"STATE / TILTON",,  42.123272, -72.541771,,,,,,
1017,"PLAINFIELD / DEMOND",,  42.122379, -72.616730,,,,,,
1018,"ELM / LOWER GRANDVIEW",,  42.121983, -72.627419,,,,,,
1019,"Westfield Center",,  42.120819, -72.747124,,,,,,
102,"Amherst Glass (Out)",,  42.376186, -72.501266,,,,,,
1020,"PARKER / SUNRISE",,  42.123226, -72.497467,,,,,,
1021,"SPRINGFIELD / ATWATER",,  42.122242, -72.604736,,,,,,
1022,"Carew/Armory",,  42.122349, -72.588051,,,,,,
1023,"CAREW / ARMORY",,  42.122192, -72.588448,,,,,,
1024,"PLAINFIELD / LAUREL",,  42.121960, -72.616608,,,,,,
1025,"Westfield Center",,  42.120533, -72.746552,,,,,,
1026,"MAIN / MECHANIC",,  42.120464, -72.745438,,,,,,
1027,"COURT / WASHINGTON",,  42.120308, -72.752785,,,,,,
1028,"STATE / IVANHOE",,  42.122269, -72.543739,,,,,,
1029,"STATE / IVANHOE",,  42.122356, -72.543365,,,,,,
103,"Jones Library (Out)",,  42.375854, -72.521240,,,,,,
1030,"PARKER / SUNRISE",,  42.122608, -72.497505,,,,,,
1031,"LIBERTY / PHOENIX",,  42.121742, -72.584175,,,,,,
1032,"ELM / DINGLE",,  42.121429, -72.627335,,,,,,
1033,"COURT / BATES",,  42.119778, -72.756706,,,,,,
1034,"RAMP / COURT",,  42.119934, -72.749878,,,,,,
1035,"BAY / EDGEWOOD",,  42.121758, -72.561790,,,,,,
1036,"BAY / EDGEWOOD",,  42.121815, -72.561600,,,,,,
1037,"INDEPENDENCE HOUSE PARKING LOT / INDEPEN",,  42.121693, -72.549339,,,,,,
1038,"PARKER / BREWSTER",,  42.122185, -72.497772,,,,,,
1039,"PLAINFIELD / BRIGHTWOOD",,  42.121078, -72.616005,,,,,,
104,"Gray Street (In)",,  42.375919, -72.511971,,,,,,
1040,"STATE / EDGEMONT",,  42.121658, -72.544487,,,,,,
1041,"MAIN / US HWY 20",,  42.119667, -72.743279,,,,,,
1042,"Carew/Nye",,  42.121227, -72.590012,,,,,,
1043,"Carew/Parkside",,  42.121113, -72.590530,,,,,,
1044,"COURT / CHESTNUT",,  42.119339, -72.759171,,,,,,
1046,"COURT / MILL",,  42.119209, -72.759285,,,,,,
1047,"SPRINGFIELD / MAIN",,  42.122303, -72.431801,,,,,,
1049,"ELM / LOWER GRANDVIEW",,  42.120354, -72.627495,,,,,,
105,"Churchill Street",,  42.375877, -72.516556,,,,,,
1050,"SPRINGFIELD / MAIN",,  42.122223, -72.431961,,,,,,
1051,"CHESTNUT / BAY STATE MEDICAL CENTER DRIV",,  42.120537, -72.605240,,,,,,
1052,"PLAINFIELD / ABBE",,  42.120346, -72.615738,,,,,,
1053,"BAY STATE MEDICAL CENTER DRIVE / CHESTNU",,  42.120548, -72.605087,,,,,,
1054,"STATE / HILLMONT",,  42.121159, -72.544838,,,,,,
1055,"MAIN / SPRINGFIELD",,  42.122059, -72.431396,,,,,,
1056,"MAIN / MEADOW",,  42.119106, -72.740166,,,,,,
1058,"PARKER / MALLOWHILL",,  42.121307, -72.497894,,,,,,
1059,"BAY STATE MEDICAL CENTER DRIVE / CHESTNU",,  42.120197, -72.603432,,,,,,
106,"Gray Street (Out)",,  42.375820, -72.511925,,,,,,
1061,"Kindred Hospital",,  42.120678, -72.545479,,,,,,
1062,"PLAINFIELD / ABBE",,  42.120335, -72.615608,,,,,,
1063,"CAREW / MELHA",,  42.120235, -72.592484,,,,,,
1064,"CAREW / MELHA",,  42.120110, -72.592468,,,,,,
1065,"BAY / OAK GROVE",,  42.120064, -72.563423,,,,,,
1066,"Main/Cumberland",,  42.119900, -72.608200,,,,,,
1067,"ELM / LOWER GRANDVIEW",,  42.120033, -72.627380,,,,,,
1068,"Main/Cumberland(opposite)",,  42.119621, -72.608238,,,,,,
1069,"MAIN / NOBLE",,  42.118225, -72.736946,,,,,,
107,"Lincoln Avenue (Out)",,  42.375687, -72.523842,,,,,,
1070,"BAY / OAK GROVE",,  42.120285, -72.563103,,,,,,
1072,"SPRINGFIELD / SPRINGFIELD",,  42.120899, -72.453125,,,,,,
1073,"SPRINGFIELD / STONY HILL",,  42.120770, -72.453873,,,,,,
1074,"OAK GROVE / BAY",,  42.119865, -72.562965,,,,,,
1075,"STATE / CLARENCE",,  42.119957, -72.545883,,,,,,
1076,"SPRINGFIELD / CHAPIN",,  42.120651, -72.456215,,,,,,
1077,"CHESTNUT / WAVERLY",,  42.119293, -72.604576,,,,,,
1078,"PARKER / BURNS",,  42.120255, -72.498375,,,,,,
1079,"STATE / BLUNT PARK",,  42.119663, -72.546326,,,,,,
108,"Amherst Crossing (In)",,  42.375767, -72.507088,,,,,,
1080,"ELM / LARONE",,  42.118683, -72.627663,,,,,,
1081,"CHESTNUT / PRATT",,  42.118965, -72.604050,,,,,,
