route_id,service_id,trip_id,trip_headsign,block_id,shape_id
PV,HTS04-Hulmes-Weekday-04,888260-HTS04-Hulmes-Weekday-04,"Clockwise",139801,PV0001
PV,HTS04-Hulmes-Weekday-04,888261-HTS04-Hulmes-Weekday-04,"Clockwise",139807,PV0002
PV,HTS04-Hulmes-Weekday-04,888262-HTS04-Hulmes-Weekday-04,"Clockwise",139802,PV0013
PV,HTS04-Hulmes-Weekday-04,888263-HTS04-Hulmes-Weekday-04,"Clockwise",139801,PV0003
PV,HTS04-Hulmes-Weekday-04,888264-HTS04-Hulmes-Weekday-04,"Clockwise",139807,PV0003
PV,HTS04-Hulmes-Weekday-04,888265-HTS04-Hulmes-Weekday-04,"Clockwise",139808,PV0001
PV,HTS04-Hulmes-Weekday-04,888266-HTS04-Hulmes-Weekday-04,"Clockwise",139810,PV0004
PV,HTS04-Hulmes-Weekday-04,888267-HTS04-Hulmes-Weekday-04,"Clockwise",139802,PV0004
PV,HTS04-Hulmes-Weekday-04,888268-HTS04-Hulmes-Weekday-04,"Clockwise",139801,PV0007
PV,HTS04-Hulmes-Weekday-04,888269-HTS04-Hulmes-Weekday-04,"Clockwise",139808,PV0007
PV,HTS04-Hulmes-Weekday-04,888270-HTS04-Hulmes-Weekday-04,"Clockwise",139801,PV0006
PV,HTS04-Hulmes-Weekday-04,888271-HTS04-Hulmes-Weekday-04,"Clockwise",139802,PV0006
PV,HTS04-Hulmes-Weekday-04,888272-HTS04-Hulmes-Weekday-04,"Clockwise",139810,PV0006
PV,HTS04-Hulmes-Weekday-04,888273-HTS04-Hulmes-Weekday-04,"Clockwise",139807,PV0008
PV,HTS04-Hulmes-Weekday-04,888274-HTS04-Hulmes-Weekday-04,"Counterclockwise",139801,PV0014
PV,HTS04-Hulmes-Weekday-04,888275-HTS04-Hulmes-Weekday-04,"Counterclockwise",139807,PV0014
PV,HTS04-Hulmes-Weekday-04,888276-HTS04-Hulmes-Weekday-04,"Counterclockwise",139802,PV0014
PV,HTS04-Hulmes-Weekday-04,888277-HTS04-Hulmes-Weekday-04,"Counterclockwise",139808,PV0014
PV,HTS04-Hulmes-Weekday-04,888278-HTS04-Hulmes-Weekday-04,"Clockwise",139807,PV0012
PV,HTS04-Hulmes-Weekday-04,888279-HTS04-Hulmes-Weekday-04,"Clockwise",139807,PV0011
PV,HTS04-Hulmes-Weekday-04,888280-HTS04-Hulmes-Weekday-04,"Clockwise",139802,PV0009
PV,HTS04-Hulmes-Weekday-04,888281-HTS04-Hulmes-Weekday-04,"Clockwise",139810,PV0009
PV,HTS04-Hulmes-Weekday-04,888282-HTS04-Hulmes-Weekday-04,"Clockwise",139801,PV0010
WS,HTS04-Hulmes-Weekday-04,888283-HTS04-Hulmes-Weekday-04,"South",139803,WS0005
WS,HTS04-Hulmes-Weekday-04,888284-HTS04-Hulmes-Weekday-04,"North",139803,WS0003
WS,HTS04-Hulmes-Weekday-04,888285-HTS04-Hulmes-Weekday-04,"South",139803,WS0005
WS,HTS04-Hulmes-Weekday-04,888286-HTS04-Hulmes-Weekday-04,"South",139803,WS0005
WS,HTS04-Hulmes-Weekday-04,888287-HTS04-Hulmes-Weekday-04,"South",139803,WS0005
WS,HTS04-Hulmes-Weekday-04,888288-HTS04-Hulmes-Weekday-04,"South",139803,WS0004
WS,HTS04-Hulmes-Weekday-04,888289-HTS04-Hulmes-Weekday-04,"South",139803,WS0004
WS,HTS04-Hulmes-Weekday-04,888290-HTS04-Hulmes-Weekday-04,"South",139803,WS0004
WS,HTS04-Hulmes-Weekday-04,888291-HTS04-Hulmes-Weekday-04,"North",139803,WS0002
WS,HTS04-Hulmes-Weekday-04,888292-HTS04-Hulmes-Weekday-04,"North",139803,WS0003
WS,HTS04-Hulmes-Weekday-04,888293-HTS04-Hulmes-Weekday-04,"North",139803,WS0002
WS,HTS04-Hulmes-Weekday-04,888294-HTS04-Hulmes-Weekday-04,"North",139803,WS0001
WS,HTS04-Hulmes-Weekday-04,888295-HTS04-Hulmes-Weekday-04,"North",139803,WS0003
WS,HTS04-Hulmes-Weekday-04,888296-HTS04-Hulmes-Weekday-04,"North",139803,WS0003
BtrS,HTS04-Hulmes-Weekday-04-1010100,888297-HTS04-Hulmes-Weekday-04-1010100,"East",139804,BtrS0004
BtrS,HTS04-Hulmes-Weekday-04-1010100,888298-HTS04-Hulmes-Weekday-04-1010100,"East",139805,BtrS0003
BtrS,HTS04-Hulmes-Weekday-04-1010100,888299-HTS04-Hulmes-Weekday-04-1010100,"East",139805,BtrS0001
BtrS,HTS04-Hulmes-Weekday-04-1010100,888300-HTS04-Hulmes-Weekday-04-1010100,"East",139805,BtrS0001
