Route: 30
    stop: 34  Puffton Village 1
    stop: 35  Puffton Village 2
    stop: 38  North Village
    stop: 42  Fairfield Street
    stop: 58  GRC
    stop: 64  Hasbrouck
    stop: 71  Fine Arts Center
    stop: 72  Studio Arts Building
    stop: 81  Fearing Street (In)
    stop: 82  Fearing Street (Out)
    stop: 93  Pray Street (Out)
    stop: 94  Pray Street (In)
    stop: 95  Cowles Lane
    stop: 96  Amherst Post Office
    stop: 102  Amherst Glass (Out)
    stop: 104  Gray Street (In)
    stop: 105  Churchill Street
    stop: 106  Gray Street (Out)
    stop: 108  Amherst Crossing (In)
    stop: 109  Amherst Crossing (Out)
    stop: 110  Amherst Town Hall
    stop: 115  Amherst Glass (In)
    stop: 118  Colonial Village (In)
    stop: 119  Colonial Village (Out)
    stop: 120  Colonial Village / S East Street (In)
    stop: 121  Colonial Village / S East Street (Out)
    stop: 134  Rolling Green (Out)
    stop: 135  Rolling Green (In)
    stop: 138  Logtown Road (In)
    stop: 139  Logtown Road (Out)
    stop: 141  Valley Medical
    stop: 148  Old Belchertown Road
    stop: 149  Old Belchertown Road (Out)
    stop: 8000  Hall Drive
    stop: 8002  Old Belchertown Road 2
Route: 31
    stop: 6  Garage Road (Out)
    stop: 7  Pioneer Vally Apts.
    stop: 8  Goten Restaurant
    stop: 9  Sugarloaf Estates
    stop: 10  Silver Lane
    stop: 11  Cliffside
    stop: 12  Seven Eleven
    stop: 15  Laurenitis Farm Stand (In)
    stop: 17  Plumtree Road (In)
    stop: 20  Bioshelter (In)
    stop: 30  Townhouse (In)
    stop: 32  North Amherst (In)
    stop: 38  North Village
    stop: 42  Fairfield Street
    stop: 58  GRC
    stop: 71  Fine Arts Center
    stop: 72  Studio Arts Building
    stop: 81  Fearing Street (In)
    stop: 82  Fearing Street (Out)
    stop: 93  Pray Street (Out)
    stop: 94  Pray Street (In)
    stop: 95  Cowles Lane
    stop: 96  Amherst Post Office
    stop: 112  Amherst Common (N)
    stop: 113  Amherst Common (S)
    stop: 132  Memorial Drive (Out)
    stop: 133  Memorial Drive (In)
    stop: 147  Columbia Drive (In)
    stop: 151  The Brook (Out)
    stop: 152  The Brook (In)
    stop: 153  Southpoint
    stop: 157  The Boulders
    stop: 8006  Sunderland Center
    stop: 8011  Columbia Drive (Out)
Route: 32
    stop: 21  Mill Hollow Apts.
    stop: 22  Market Hill Road
    stop: 23  Summer Street (Out)
    stop: 24  Cushman Day School
    stop: 25  Cushman Center
    stop: 26  Pine Street
    stop: 27  N Amherst - Rt 63 (In)
    stop: 28  State Street
    stop: 32  North Amherst (In)
    stop: 33  Grantwood Drive
    stop: 36  Cherry Lane
    stop: 38  North Village
    stop: 39  Sheerman Lane
    stop: 40  Tilson Farm (Out)
    stop: 42  Fairfield Street
    stop: 45  Sylvan (Out)
    stop: 47  Totman Gym (Out)
    stop: 56  Arnold House
    stop: 58  GRC
    stop: 63  Morrill
    stop: 64  Hasbrouck
    stop: 71  Fine Arts Center
    stop: 72  Studio Arts Building
    stop: 81  Fearing Street (In)
    stop: 82  Fearing Street (Out)
    stop: 93  Pray Street (Out)
    stop: 94  Pray Street (In)
    stop: 95  Cowles Lane
    stop: 96  Amherst Post Office
    stop: 112  Amherst Common (N)
    stop: 113  Amherst Common (S)
    stop: 132  Memorial Drive (Out)
    stop: 133  Memorial Drive (In)
    stop: 145  Mill Street (In)
    stop: 155  Shay Street
    stop: 158  Wentworth Drive
    stop: 167  Crocker Farm (Out)
    stop: 181  South Amherst Common
    stop: 184  Dairy Mart (Out)
    stop: 185  Middle Street (E)
    stop: 186  Carriage Lane (E)
    stop: 187  Pomeroy Lane (E)
    stop: 193  Tracy Circle (W)
    stop: 195  Tracy Circle (E)
    stop: 196  Farmington (N)
    stop: 206  Farmington (S)
    stop: 217  Longmeadow Drive
    stop: 221  Potwine Lane (In)
    stop: 222  Potwine Lane (Out)
    stop: 247  Eric Carle Museum
    stop: 255  Atkins Farm (In)
    stop: 257  Atkins Farm (Out)
    stop: 8008  Sand Hill Road
    stop: 8010  Mill Street (Out)
    stop: 8024  Pulpit Hill Road 1
    stop: 8025  Pulpit Hill Road 2
    stop: 9053  Summer Street (In)
    stop: 9999  North Amherst-Rt 63 (Out)
Route: 37
    stop: 41  Tilson Farm (In)
    stop: 44  Sylvan (In)
    stop: 46  Totman Gym (In)
    stop: 54  Village Park (N)
    stop: 58  GRC
    stop: 62  Dickinson Dorm
    stop: 65  Chadbourne (N)
    stop: 68  Butterfield Dorm (W)
    stop: 71  Fine Arts Center
    stop: 79  Chestnut Street (N)
    stop: 82  Fearing Street (Out)
    stop: 85  Triangle Street (N)
    stop: 93  Pray Street (Out)
    stop: 94  Pray Street (In)
    stop: 95  Cowles Lane
    stop: 96  Amherst Post Office
    stop: 103  Jones Library (Out)
    stop: 107  Lincoln Avenue (Out)
    stop: 114  Amity Place (Out)
    stop: 123  Amherst Community Health Ctr (Out)
    stop: 124  Amherst Community Health Ctr (In)
    stop: 125  Big Y
    stop: 127  Stop and Shop
    stop: 128  Greenleaves Drive
    stop: 9050  Amity Place (In)
    stop: 9051  Lincoln Avenue (In)
    stop: 9052  Jones Library (In)
Route: 45
    stop: 58  GRC
    stop: 64  Hasbrouck
    stop: 71  Fine Arts Center
    stop: 72  Studio Arts Building
    stop: 81  Fearing Street (In)
    stop: 82  Fearing Street (Out)
    stop: 93  Pray Street (Out)
    stop: 94  Pray Street (In)
    stop: 95  Cowles Lane
    stop: 96  Amherst Post Office
    stop: 99  Thayer Street (Out)
    stop: 102  Amherst Glass (Out)
    stop: 104  Gray Street (In)
    stop: 105  Churchill Street
    stop: 106  Gray Street (Out)
    stop: 108  Amherst Crossing (In)
    stop: 109  Amherst Crossing (Out)
    stop: 110  Amherst Town Hall
    stop: 111  Heatherstone Road (Out)
    stop: 115  Amherst Glass (In)
    stop: 135  Rolling Green (In)
    stop: 138  Logtown Road (In)
    stop: 148  Old Belchertown Road
    stop: 149  Old Belchertown Road (Out)
    stop: 154  Mayflower Apts. (In)
    stop: 156  Mayflower Apts. (Out)
    stop: 164  Warren Wright Road (Out)
    stop: 165  Warren Wright Road (In)
    stop: 197  North Street (In)
